link,anger,disgust,fear,joy,sadness
https://twitter.com/RizwanSoorya1/status/1270407046517657609,0.133634,0.060585,0.090017,0.11943,0.137626
https://twitter.com/DramaFlick/status/1270406051565916160,0.083913,0.164884,0.023291,0.048599,0.13523
https://twitter.com/Yash_Railfan/status/1270405916152614917,0.033756,0.050693,0.016526,0.055191,0.054131
https://twitter.com/ItvBharat/status/1270404955451645952,0.022377,0.059812,0.108595,0.091198,0.166377
https://twitter.com/Nimitiwari/status/1270401575299641344,0.215001,0.063561,0.200288,0.193993,0.525045
https://twitter.com/mumbairailusers/status/1270394222873464832,0.06608,0.035414,0.051291,0.524733,0.191912
https://twitter.com/Facto_news/status/1270385848790298624,0.20038,0.172331,0.030092,0.498736,0.172001
https://twitter.com/mumbaimatterz/status/1270378274347266049,0.186699,0.044646,0.162284,0.091785,0.69201
https://twitter.com/AProudIndian8/status/1270366872253239296,0.140132,0.209263,0.309119,0.016382,0.335524
https://twitter.com/AProudIndian8/status/1270365743058571265,0.140132,0.209263,0.309119,0.016382,0.335524
https://twitter.com/AProudIndian8/status/1270365665682046978,0.140132,0.209263,0.309119,0.016382,0.335524
https://twitter.com/BeardWalaChokra/status/1270364863211220992,0.037572,0.009837,0.00589,0.09925,0.029061
https://twitter.com/Indradev_007/status/1270346349008097282,0.283265,0.053684,0.181276,0.103822,0.369782
https://twitter.com/CNBCTV18News/status/1270332331799097344,0.079651,0.060441,0.003865,0.649874,0.015608
https://twitter.com/VeeraJain/status/1270330211809112065,0.175954,0.050378,0.079405,0.40671,0.16944
https://twitter.com/LoksattaLive/status/1270325482609729536,0.057381,0.128859,0.167726,0.222999,0.194699
